"docid"	"actualdate"	"earliestdate"	"firstpub"	"tags"	"recordid"	"OCLC"	"author"	"enumcron"	"title"	"gender"	"nationality"	"authsvols"
"uc1.b3325617"	1852	1852	1852	"elite"	6131755	22468470	"Marsh-Caldwell, Anne"	"v. 1"	"Castle Avon"	"f"	"uk"	97
"uc1.b250586"	1852	1852	1852	"elite"	6502576	23201650	"Sinclair, Catherine"	"v. 2"	"Beatrice, or, The unknown relatives"	"f"	"uk"	40
"uc1.b250585"	1852	1852	1852	"elite"	6502576	23201650	"Sinclair, Catherine"	"v.1"	"Beatrice, or, The unknown relatives"	"f"	"uk"	40
"uc1.b3325619"	1852	1852	1852	"elite"	6131755	22468470	"Marsh-Caldwell, Anne"	"v. 3"	"Castle Avon"	"f"	"uk"	97
"uc2.ark+=13960=t53f4r152"	1852	1852	1852	"elite"	7687042	9578697	"Craik, Dinah Maria Mulock"	"v.1"	"The head of the family"	"f"	"uk"	168
"uc2.ark+=13960=t7jq0zc1x"	1852	1852	1852	"elite"	7687042	9578697	"Craik, Dinah Maria Mulock"	"v.2"	"The head of the family"	"f"	"uk"	168
"nyp.33433074947171"	1860	1853	1853	"elite"	8691049	37220659	"Cockton, Henry"	"<blank>"	"Percy Effingham"	"m"	"uk"	27
"nyp.33433076053416"	1853	1853	1853	"vulgar"			"Prime, William Cowper"		"The old house by the river"	"m"	"us"	12
"nyp.33433084128655"	1855	1853	1853	"vulgar"			"Yonge, Charlotte M"		"The heir of Redclyffe"	"f"	"uk"	218
"njp.32101068168424"	1853	1853	1853	"elite"	8968436	43336285	"Crosland, Newton"	"<blank>"	"Stray leaves from shady places"	"f"	"uk"	12
"uc1.b3327126"	1859	1853	1853	"vulgar"			"Rowcroft, Charles"		"The Australian Crusoes"	"m"	"uk"	17
"nyp.33433074930144"	1853	1853	1853	"elite"	324018	535774	"Brontë, Charlotte"	"<blank>"	"Villette"	"f"	"uk"	153
"nyp.33433000665822"	1853	1853	1853	"elite"	8588672	5632116	"St. John, James Augustus"	"v. 1"	"There and back again in search of beauty"	"m"	"uk"	12
"njp.32101042000354"	1853	1853	1853	"vulgar"			"Irving, John Treat"		"Harry Harson, or, The benevolent bachelor"	"m"	"us"	23
"nyp.33433000665830"	1853	1853	1853	"elite"	8588672	5632116	"St. John, James Augustus"	"v. 2"	"There and back again in search of beauty"	"m"	"uk"	12
"nyp.33433074947270"	1853	1853	1853	"vulgar"			"Collins, A. Maria"		"Mrs. Ben Darby"	"f"	"us"	2
"uiuo.ark+=13960=t8mc9hb8b"	1854	1853	1853	"elite"	8717962	52484879	"Heighway, Osborn W. Trenery"	"v.2"	"Adeline, or, the mysteries, romance, and realities of Jewish life"	"m"		3
"uiuo.ark+=13960=t76t15w5c"	1853	1853	1853	"vulgar"			"Long, Catharine"		"The first lieutenant's story"	"f"	"uk"	7
"uiuo.ark+=13960=t83j42304"	1854	1853	1853	"elite"	8717962	52484879	"Heighway, Osborn W. Trenery"	"v.1"	"Adeline, or, the mysteries, romance, and realities of Jewish life"	"m"		3
"uc1.$b809243"	1854	1854	1854	"vulgar"			"Hornblower, Jane Elizabeth Roscoe"		"Vara, or, The child of adoption"	"f"	"us"	5
"uiuo.ark+=13960=t5fb5fx5f"	1854	1854	1854	"elite"	8722283	21267288	"Grant, James"	"v.2"	"Philip Rollo, or, The Scottish musketeers"	"m"	"uk"	93
"njp.32101067634343"	1869	1854	1854	"vulgar"			"Hamley, Edward Bruce"		"Lady Lee's widowhood"	"m"	"uk"	6
"uc1.b3327580"	1855	1854	1854	"vulgar"			"Pike, Mary Hayden Green"		"Ida May;"	"f"	"us"	1
"njp.32101074760370"	1854	1854	1854	"vulgar"			"Engles, William M"		"The youth's casket"	"m"	"us"	1
"wu.89098013279"	1854	1854	1854	"vulgar"			"Bullard, A. T. J"		"Love affairs, or, How a flirt was caught in his own trap"	"f"	"uk"	3
"uiuo.ark+=13960=t3nv9vg5k"	1854	1854	1854	"elite"	8722283	21267288	"Grant, James"	"v.1"	"Philip Rollo, or, The Scottish musketeers"	"m"	"uk"	93
"uiuo.ark+=13960=t1fj2v76r"	1854	1854	1854	"elite"	391341	13325112	"Gibson, Charles B"	"v.2"	"The last earl of Desmond"	"m"	"uk"	4
"uiuo.ark+=13960=t72v35t5b"	1854	1854	1854	"vulgar"			"Sheppard, Elizabeth Sara"		"Counterparts, or, The cross of love"	"f"	"uk"	18
"njp.32101068176260"	1854	1854	1854	"vulgar"			"Cartwright, Robert"		"Ambrose the sculptor"	"f"	"uk"	4
"nyp.33433081830097"	1854	1854	1854	"vulgar"			"Robinson, Solon"		"Hot corn"	"m"	"us"	8
"uc2.ark+=13960=t75t3j32m"	1857	1854	1854	"vulgar"			"Russell, Martha"		"Stories of New England life, or, LEaves from the tree Igdrasyl"	"f"	"us"	4
"uiuo.ark+=13960=t64462k75"	1854	1854	1854	"elite"	391341	13325112	"Gibson, Charles B"	"v.1"	"The last earl of Desmond"	"m"	"uk"	4
"uc2.ark+=13960=t86h4jj86"	1854	1854	1854	"vulgar"	7685244	13354360	"Ainsworth, William Harrison"	"<blank>"	"The flitch of bacon, or The custom of Dunmow;"	"m"	"uk"	319
"uiuo.ark+=13960=t2s46xt21"	1855	1855	1855	"vulgar"			"Carter, Robert S"		"Talbot Hall"	"m"	"uk"	3
"nyp.33433074911094"	1855	1855	1855	"vulgar"			"Murray, Charles Augustus"		"The trapper's bride; or, Spirit of adventure"	"m"	"uk"	20
"njp.32101067634244"	1855	1855	1855	"elite"	8961448	43450970	"Hannay, James"	"v.2"	"Eustace Conyers;"	"m"	"uk"	8
"njp.32101067634236"	1855	1855	1855	"elite"	8961448	43450970	"Hannay, James"	"v.3"	"Eustace Conyers;"	"m"	"uk"	8
"nyp.33433076065493"	1855	1855	1855	"vulgar"			"Herbert, Henry William"		"Wager of battle;"	"m"	"uk"	26
"uc2.ark+=13960=t6sx6753r"	1855	1855	1855	"vulgar"			"Harwood, John Berwick"		"The serf-sisters;"	"m"	"uk"	12
"uc1.b3321955"	1855	1855	1855	"elite"	7915090	11262567	"Brooks, Shirley"	"v. 3"	"Aspen court;"	"m"	"uk"	24
"uc2.ark+=13960=t5cc1398w"	1900	1855	1855	"presentaselite"			"Grant, James"		"The yellow frigate"	"m"	"uk"	93
"uc1.b3321953"	1855	1855	1855	"elite"	7915090	11262567	"Brooks, Shirley"	"v. 1"	"Aspen court;"	"m"	"uk"	24
"njp.32101067634251"	1855	1855	1855	"elite"	8961448	43450970	"Hannay, James"	"v.1"	"Eustace Conyers;"	"m"	"uk"	8
"uiuo.ark+=13960=t41r7f89r"	1855	1855	1855	"vulgar"			"Sewell, Elizabeth Missing"		"Cleve Hall"	"f"	"uk"	62
"uc1.b3321954"	1855	1855	1855	"elite"	7915090	11262567	"Brooks, Shirley"	"v. 2"	"Aspen court;"	"m"	"uk"	24
"uc1.b266927"	1866	1855	1855	"vulgar"			"Holyoke, Hetty"		"Blanche and her friends"	"f"	"us"	3
"uc1.b4102903"	1857	1856	1856	"elite"	6155261	685100	"Dickens, Charles"	"<blank>"	"Little Dorrit"	"m"	"uk"	1251
"njp.32101068175031"	1856	1856	1856	"vulgar"			"Tindal, Henrietta Euphemia"		"The heirs of Blackridge Manor"	"f"	"uk"	3
"nyp.33433075900567"	1856	1856	1856	"elite"	8667261	10762402	"Reade, Charles"	"v. 1"	"It is never too late to mend"	"m"	"uk"	259
"mdp.39076005011502"	1899	1856	1856	"presentaselite"			"Lever, Charles James"		"Novels and romances of Charles Lever"	"m"	"ir"	550
"nyp.33433074942859"	1856	1856	1856	"elite"	8584543	"<blank>"	"Conybeare, William John"	"<blank>"	"Perversion"	"m"	"uk"	1
"nyp.33433075904890"	1856	1856	1856	"elite"	8667261	10762402	"Reade, Charles"	"v. 2"	"It is never too late to mend"	"m"	"uk"	259
"nyp.33433074793427"	1856	1856	1856	"vulgar"			"Yale, Catharine Brooks"		"Abbie Nott, and other knots"	"f"	"us"	1
"njp.32101068166022"	1856	1856	1856	"vulgar"			"Chatterton, Georgiana"		"Compensation"	"f"	"uk"	32
"uc1.b3123803"	1857	1857	1857	"vulgar"			"Horlock, Knightley William"		"The Squire of Beechwood"	"m"	"uk"	12
"mdp.39015012341775"	1857	1857	1857	"elite"	781965	1132980	"Smith, William"	"<blank>"	"Thorndale;"	"m"	"uk"	1
"uiuo.ark+=13960=t3rv0xg5x"	1857	1857	1857	"vulgar"			"Elton, Arthur Hallam"		"Below the surface"	"m"	"uk"	11
"mdp.39015008191382"	1868	1857	1857	"elite"	479694	10662623	"Hughes, Thomas"	"<blank>"	"Tom Brown's school days"	"m"	"uk"	36
"nyp.33433074872908"	1857	1857	1857	"elite"	8666651	6568920	"Lawrence, George A"	"<blank>"	"Guy Livingstone;"	"m"	"uk"	24
"nyp.33433076021587"	1858	1858	1858	"vulgar"			"Stephens, Ann S"		"Mary Derwent"	"f"	"us"	47
"uiuo.ark+=13960=t1ng5846p"	1860	1858	1858	"presentaselite"			"Brooks, Shirley"		"The Gordian knot"	"m"	"uk"	24
"uc2.ark+=13960=t87h1m84p"	1859	1859	1859	"elite"	7688076	4860377	"Francis, Francis"	"v.3"	"Newton Dogvane"	"m"	"uk"	10
"uc2.ark+=13960=t3ws8wh1m"	1883	1859	1859	"elite"	7707743	5111271	"Hughes, Thomas"		"Tom Brown at Oxford"	"m"	"uk"	36
"uiuo.ark+=13960=t8df7d82c"	1860	1859	1859	"vulgar"			"Sheppard, Elizabeth Sara"		"Almost a heroine"	"f"	"uk"	18
"uc2.ark+=13960=t9p26ws5x"	1859	1859	1859	"elite"	7688076	4860377	"Francis, Francis"	"v.2"	"Newton Dogvane"	"m"	"uk"	10
"nyp.33433075727366"	1859	1859	1859	"elite"	8668456	37227856	"Ferrer, Max"	"<blank>"	"Robert Mornay"	"m"	"uk"	1
"nyp.33433075747240"	1859	1859	1859	"elite"	8665223	5455583	"Eliot, George"	"<blank>"	"Adam Bede"	"f"	"uk"	562
"uc2.ark+=13960=t07w67c6x"	1859	1859	1859	"vulgar"			"Burdett, Charles"		"Three per cent. a month;"	"m"	"us"	24
"uiuo.ark+=13960=t8gf1fh3r"	1859	1859	1859	"vulgar"			"Barrowcliffe, A. J"		"Trust for trust"	"m"	"uk"	3
"uiuo.ark+=13960=t9s18jz2x"	1859	1859	1859	"vulgar"			"Owen, Octavius Freire"		"Raised to the peerage"	"f"	"uk"	3
"uiuo.ark+=13960=t4dn4fz70"	1859	1859	1859	"vulgar"			"Cornwallis, Kinahan"		"Wreck and ruin: or, Modern society"	"m"	"uk"	5
"uc2.ark+=13960=t2c829n5x"	1859	1859	1859	"elite"	7688076	4860377	"Francis, Francis"	"v.1"	"Newton Dogvane"	"m"	"uk"	10
"uc2.ark+=13960=t28912x1q"	1859	1859	1859	"elite"	7660911	6263120	"Hamel, Felix John"	"<blank>"	"Harry Roughton, or, Reminiscences of a revenue officer"	"m"	"uk"	2
"nyp.33433082168976"	1859	1859	1859	"vulgar"			"Adams, John Turvill"		"The white chief among the red men;"	"m"	"us"	5
"nyp.33433075748867"	1860	1860	1860	"elite"	8667142	12779728	"Pardoe"		"The adopted heir"	"f"	"uk"	39
"nyp.33433074871488"	1860	1860	1860	"vulgar"			"Bennett, Emerson"		"The trapper's bride; or, Spirit of adventure"	"m"	"us"	38
"nyp.33433074911102"	1860	1860	1860	"vulgar"			"Murray, Hamilton"		"Falkenburg"	"f"	"uk"	10
"nnc1.1002295628"	1866	1860	1860	"elite"	8405207	301812528	"Trowbridge, J. T"		"The old battle-ground"	"m"	"us"	48
"nyp.33433074850516"	1872	1860	1860	"presentaselite"			"Harris, Miriam Coles"		"Rutledge"	"f"	"us"	41
"uiuo.ark+=13960=t02z1vk3v"	1860	1860	1860	"vulgar"			"Bennett, Emerson"		"Forest and prairie;"	"m"	"us"	38
"uc1.b4594169"	1866	1860	1860	"vulgar"			"Brierley, Benjamin"		"A bundle o' fents from a Lancashire loom"	"m"	"uk"	6
"nyp.33433082546916"	1869	1860	1860	"elite"	8662257	37102771	"Kingston, William Henry Giles"		"Schoolboy days; or, Ernest Bracebridge"	"m"	"uk"	66
"nyp.33433076087943"	1860	1860	1860	"elite"	1027404	10247508	"Hawthorne, Nathaniel"	"v. 2"	"The marble faun, or, The romance of Monte Beni"	"m"	"us"	437
"njp.32101073395038"	1860	1860	1860	"vulgar"			"Kavanagh, Julia"		"Seven years, and other tales"	"f"	"ir"	62
"uc2.ark+=13960=t5m909j36"	1860	1860	1860	"vulgar"			"Warfield, Catherine Ann Ware"		"The household of Bouverie"	"f"	"us"	11
"nyp.33433082529318"	1860	1860	1860	"elite"	8654126	24328538	"Abbott, Jacob"		"The Florence stories"	"m"	"us"	179
"nyp.33433076087950"	1860	1860	1860	"elite"	1027404	10247508	"Hawthorne, Nathaniel"	"v. 1"	"The marble faun, or, The romance of Monte Beni"	"m"	"us"	437
"wu.89087925830"	1860	1860	1860	"elite"	8994341	8423969	"Arthur, T. S"		"The Allen house, or, Twenty years ago and now"	"m"	"us"	229
"uiuo.ark+=13960=t2q53818b"	1860	1860	1860	"vulgar"			"anonymous0"		"The Yankee slave-dealer;"		"us"	0
"uiuo.ark+=13960=t89g61j5w"	1860	1860	1860	"vulgar"			"Grey"		"The little beauty"	"f"	"uk"	43
"uc1.$b809229"	1860	1860	1860	"elite"	7939034	273483	"Holland, J. G"		"Miss Gilbert's career"	"m"	"us"	40
"nyp.33433076054760"	1860	1860	1860	"elite"	8660498	6185134	"Roe, A. S"		"How could he help it?"	"m"	"us"	12
"uc1.$b807239"	1860	1860	1860	"elite"	9949953		"Cummins, Maria S"		"El FureidÌ¨s"	"f"	"us"	17
"uc1.$b799998"	1860	1860	1860	"elite"	7939779	4913433	"Spofford, Harriet Elizabeth Prescott"		"Sir Rohan's ghost"	"f"	"us"	32
"njp.32101007613167"	1861	1861	1861	"vulgar"			"Blagden, Isa"		"Agnes Tremorne"	"f"	"uk"	4
"uc2.ark+=13960=t1wd3q923"	1861	1861	1861	"elite"	1692752	275638	"Holmes, Oliver Wendell"	"v.1"	"Elsie Venner;"	"m"	"us"	144
"uva.x030800580"	1861	1861	1861	"vulgar"			"anonymous1"		"Tuppy: or, The autobiography of a donkey"			0
"nyp.33433075761100"	1866	1861	1861	"elite"	8665982	7368903	"Farrar, F. W"		"Julian Home"	"m"	"uk"	20
"uc1.b4582062"	1861	1861	1861	"vulgar"			"Minster, Annie Maria"		"Glenelvan;"			1
"uc2.ark+=13960=t3125zp8x"	1861	1861	1861	"vulgar"			"Aytoun, William Edmondstoune"		"Norman Sinclair"	"m"	"uk"	2
"uiuo.ark+=13960=t5cc1pz8f"	1861	1861	1861	"elite"	3862375	1110892	"Dickens, Charles"	"v.2"	"Great expectations"	"m"	"uk"	1251
"uiuo.ark+=13960=t6f198m6h"	1861	1861	1861	"vulgar"			"Cook, Dutton"		"Paul Foster's daughter"	"m"	"uk"	7
"nyp.33433076046253"	1861	1861	1861	"vulgar"			"Radecliffe, Noell"		"Wheel within wheel"	"m"	"uk"	3
"uc1.b4104144"	1861	1861	1861	"elite"	243578	6315241	"Putnam, Mary Lowell"		"Record of an obscure man"	"f"	"us"	3
"uc2.ark+=13960=t8bg2j314"	1861	1861	1861	"elite"	1692752	275638	"Holmes, Oliver Wendell"	"v.2"	"Elsie Venner;"	"m"	"us"	144
"uiuo.ark+=13960=t46q2mg0g"	1861	1861	1861	"vulgar"			"Smythies, Harriet Maria Gordon"		"The Daily Governess"	"f"	"uk"	6
"uc1.$b799875"	1861	1861	1861	"elite"	7939763	4740055	"Winthrop, Theodore"		"Cecil Dreeme"	"m"	"us"	19
"uiuo.ark+=13960=t9g45d53j"	1861	1861	1861	"elite"	3862375	1110892	"Dickens, Charles"	"v.3"	"Great expectations"	"m"	"uk"	1251
"uiuo.ark+=13960=t2j684v7n"	1861	1861	1861	"elite"	3862375	1110892	"Dickens, Charles"	"v.1"	"Great expectations"	"m"	"uk"	1251
"njp.32101068971918"	1864	1862	1862	"elite"	8975855	39098480	"Kingsley, Henry"		"Ravenshoe"	"m"	"uk"	125
"uc2.ark+=13960=t8x924472"	1862	1862	1862	"vulgar"			"Dalton, William"		"Phaulcon the adventurer ; or The Europeans in the East"	"m"	"uk"	8
"nyp.33433076063282"	1869	1862	1862	"elite"	8690401	26251322	"Stowe, Harriet Beecher"		"The pearl of Orr's island"	"f"	"us"	108
"nyp.33433075732614"	1862	1862	1862	"vulgar"			"Sawyer, Caroline M"		"The merchant's widow"	"f"	"us"	3
"nyp.33433074795083"	1862	1862	1862	"vulgar"			"Wood, Benjamin"		"Fort Lafayette;"	"m"	"us"	2
"uiuo.ark+=13960=t0ht38q7z"	1863	1863	1863	"elite"	119932	4469529	"Taylor, Meadows"	"v.3"	"Tara"	"m"	"uk"	35
"uc2.ark+=13960=t09w0967b"	1864	1863	1863	"elite"	784546	11706704	"Warner, Susan"	"v.1"	"The old helmet"	"f"	"us"	57
"uiuo.ark+=13960=t3417gh0c"	1864	1863	1863	"vulgar"			"Evans, Augusta J"		"Macaria"	"f"	"us"	24
"uiuo.ark+=13960=t1mg8892t"	1863	1863	1863	"elite"	119932	4469529	"Taylor, Meadows"	"v.1"	"Tara"	"m"	"uk"	35
"uva.x004993551"	1863	1863	1863	"vulgar"			"Reid, Mayne"		"Andrew Deverel;"	"m"	"us"	177
"nnc1.cu53417658"	1903	1863	1863	"vulgar"			"Erckmann, Emile"		"Madame Thérèse"	"m"	"french"	31
"uiuo.ark+=13960=t5db8pf3x"	1863	1863	1863	"elite"	119932	4469529	"Taylor, Meadows"	"v.2"	"Tara"	"m"	"uk"	35
"uc2.ark+=13960=t2q52nv5t"	1862	1863	1863	"vulgar"	927135	8357970	"Drury, Anna H"		"Deep waters"			8
"nnc1.1000026913"	1865	1863	1863	"vulgar"			"Hoffman, Mary J"		"Agnes Hilton: or, Practical views of Catholicity"	"f"	"us"	1
"nyp.33433076060791"	1863	1863	1863	"vulgar"			"Sala, George Augustus"		"The strange adventures of Captain Dangerous"	"m"	"uk"	35
"njp.32101067646404"	1864	1864	1864	"vulgar"			"Holmes, Mary Jane"		"Darkness and daylight"	"f"	"us"	85
"nyp.33433074911169"	1864	1864	1864	"vulgar"			"Saunders, John"		"Guy Waterman"	"m"	"uk"	18
"uc1.b250127"	1864	1864	1864	"elite"	6502425	5515317	"Le Fanu, Joseph Sheridan"	"v.1"	"Uncle Silas"	"m"	"ir"	43
"uiuo.ark+=13960=t2s46z17j"	1864	1864	1864	"vulgar"			"anonymous2"		"Captain Herbert"	"m"		0
"uc1.b250128"	1864	1864	1864	"elite"	6502425	5515317	"Le Fanu, Joseph Sheridan"	"v.2"	"Uncle Silas"	"m"	"ir"	43
"uc1.b250129"	1864	1864	1864	"elite"	6502425	5515317	"Le Fanu, Joseph Sheridan"	"v.3"	"Uncle Silas"	"m"	"ir"	43
"uc2.ark+=13960=t3cz3cz3c"	1864	1864	1864	"elite"	6155816	390549	"Sargent, Epes"		"Peculiar;"	"m"	"us"	10
"uc1.b250369"	1864	1864	1864	"vulgar"			"Sala, George Augustus"		"Quite alone"	"m"	"uk"	35
"nc01.ark+=13960=t2n59009q"	1864	1864	1864	"vulgar"			"Howe, Mary A"		"The rival volunteers;"	"f"	"us"	5
"uc1.b248359"	1864	1864	1864	"vulgar"			"Cousin Carrie"		"Keep a good heart"		"us"	2
"uc2.ark+=13960=t06w96j0p"	1864	1864	1864	"elite"	784546	11706704	"Warner, Susan"	"v.2"	"The old helmet"	"f"	"us"	57
"uiuo.ark+=13960=t1kh15m3g"	1865	1865	1865	"elite"	8720221	38000072	"Foxton, E"	"v.2"	"Herman, or, Young knighthood"	"f"	"us"	2
"uc2.ark+=13960=t71v5g84v"	1866	1865	1865	"vulgar"			"Coffin, Charles Carleton"		"Winning his way"	"m"	"us"	14
"wu.89098020001"	1865	1865	1865	"vulgar"			"Denison, Mary A"		"The lover's trials;"	"f"	"us"	31
"uc2.ark+=13960=t1ng4h12x"	1865	1865	1865	"vulgar"			"Stephens, Ann S"		"Silent struggles"	"f"	"us"	47
"mdp.39015011425439"	1865	1865	1865	"elite"	448871	66290810	"Braddon, M. E"	"v.1"	"Only a clod, in three vols"	"f"	"uk"	273
"loc.ark+=13960=t6d22dg8q"	1865	1865	1865	"vulgar"			"Victor, Metta Victoria Fuller"		"The two hunters;"	"f"	"us"	12
"uc2.ark+=13960=t9g44jj09"	1865	1865	1866	"elite"	324077	6218421	"Lander, Meta"		"Esperance"	"f"	"us"	4
