"docid"	"author"	"title"	"inferreddate"	"latestcomp"	"firstpub"	"allcopiesofwork"	"copiesin25yrs"	"gender"	"nationality"	"earlyedition"	"lastname"	"imprint"	"recordid"	"norton"	"heath"	"nortonshort"	"mostdiscussed"	"preregistered"	"reviewed"	"contrast4reviewed"	"bestseller"
"mdp.39015078550053"	"Defoe, Daniel,"	"Robinson Crusoe"	1815	1719	1719			"m"	"uk"		"Defoe"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"mdp.39015078565317"	"Swift, Jonathan,"	"... Capt. Lemuel Gulliver's travels into several remote nations of the world"	1765	1726	1726	2	2			"True"	"Swift"	"London;Printed for C. Bathurst;1765."	1423715	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uc2.ark+=13960=t3tt4h68m"	"Goldsmith, Oliver,"	"The vicar of Wakefield"	1793	1766	1766						"Goldsmith"		7660270	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uc2.ark+=13960=t7sn02x48"	"Warren, Samuel,"	"Ten thousand a year"	1841	1800	1841			"m"			"Warren"	"Edinburgh;London;William Blackwood and sons;1841."	324762	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"hvd.hn21hl"	"Porter, Jane,"	"Thaddeus of Warsaw"	1805	1803	1803	14	7	"f"	"uk"	"True"	"Porter"	"London;Printed for Longman, Hurst, Rees, and Orme;1805."	9713669	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433076091572"	"Edgeworth, Maria,"	"Belinda"	1893	1803	1803			"f"	"uk"		"Edgeworth"	"London;J. M. Dent & co.;New York;Dodd, Mead & co.;1893."	124016	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uc2.ark+=13960=t9862dk9h"	"Scott, Walter,"	"The lay of the last minstrel"	1806	1805	1805			"m"	"uk"		"Scott"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433081595237"	"Morgan,"	"The wild Irish girl;"	1808	1806	1806						"Morgan"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uiuo.ark+=13960=t5db8pd5f"	"Surr, T. S."	"A winter in London;"	1806	1806	1806						"Surr"		122629	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"hvd.hwp6zt"	"Scott, Walter,"	"Marmion"	1835	1808	1808			"m"	"uk"		"Scott"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433074873880"	"Scott, Walter,"	"The lady of the lake"	1810	1810	1810			"m"	"uk"		"Scott"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"mdp.39015078574335"	"Wyss, Johann David,"	"The Swiss family Robinson"	1818	1812	1812	37	2			"True"	"Wyss"	"London;Printed for M.J. Godwin and co., at the Juvenile library;1818."	1423409	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"uc2.ark+=13960=t7wm1jf6q"	"Byron, George Gordon Byron,"	"Childe Harold's pilgrimage"	1812	1812	1812						"Byron"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"njp.32101067173797"	"Scott, Walter,"	"Rokeby"	1813	1813	1813			"m"	"uk"		"Scott"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"hvd.hwnzib"	"Byron, George Gordon Byron,"	"The bride of Abydos"	1814	1813	1813						"Byron"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433074943634"	"Austen, Jane"	"Pride and Prejudice"	1853	1813	1813	36	1	"f"	"uk"	"False"	"Austen"	"London;R. Bentley;1853."	8663885	"False"	"False"	"False"	"False"	"True"	"False"	"False"	"False"
"hvd.hwkly1"	"Byron, George Gordon Byron,"	"The Corsair; a tale"	1815	1814	1814						"Byron"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nnc1.cu58476121"	"Byron, George Gordon Byron,"	"Lara"	1814	1814	1814						"Byron"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"njp.32101067172963"	"Scott, Walter,"	"Waverley"	1857	1814	1814			"m"	"uk"		"Scott"	"Boston;Houghton, Mifflin and Company;1857"	8956165	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"njp.32101067172963"	"Scott, Walter,"	"Guy Mannering; or, The astrologer"	1820	1815	1815			"m"	"uk"		"Scott"	"Philadelphia;Maxwell;1820."	8668272	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433075742894"	"Scott, Walter,"	"The antiquary"	1816	1816	1816	20	4	"m"	"uk"	"True"	"Scott"	"New York;Van Winkle and Wiley;1816."	8670091	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433075743603"	"Scott, Walter,"	"Rob Roy"	1824	1818	1818			"m"	"uk"		"Scott"	"Philadelphia;J. Crissy;1824."	8667096	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"nyp.33433075743207"	"Scott, Walter,"	"Ivanhoe;"	1823	1820	1820	9	2	"m"	"uk"	"True"	"Scott"	"Philadelphia;T. Desilver;1823."	8670191	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"inu.30000011770603"	"Egan, Pierce,"	"Tom & Jerry ="	1870	1821	1821			"m"	"uk"		"Egan"			"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"hvd.32044097914220"	"Cooper, James Fenimore,"	"The spy"	1824	1821	1821	11	5	"m"	"us"	"True"	"Cooper"	"New York;Charles Wiley;1824."	9718630	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
